Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Amazon Link (product.metafields.custom.amazon_link),Author Info (product.metafields.custom.author_info),Bought Amount (product.metafields.custom.bought_amount),Product Material (product.metafields.custom.product_material),product_video_media (product.metafields.custom.product_video_media),Rich Description (product.metafields.custom.rich_description),SEO Product Title (product.metafields.custom.seo_product_title),Size Guide (product.metafields.custom.size_guide),Wood Type (product.metafields.custom.wood_type),Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Mounting type (product.metafields.shopify.mounting-type),Suitable location (product.metafields.shopify.suitable-location),Wood finish (product.metafields.shopify.wood-finish),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
tree-bird-nest-wood-platform-canopy-bed-frame-2,Tree Bird Nest Wood Platform Canopy Bed Frame,"<div class=""dm-tabs__rte"" style=""margin:0; padding:0; background:transparent; color:#2a211b; font-family:inherit;"">
  <div style=""display:grid; gap:16px; margin:0; padding:0; background:transparent;"">
    <div style=""padding:16px 18px; border-radius:16px; background:rgba(91,50,24,0.055); border:1px solid rgba(92,58,35,0.10);"">
      <div style=""margin:0 0 6px; color:#5a3218; font-size:11px; line-height:1; font-weight:600; letter-spacing:0.16em; text-transform:uppercase;"">Organic Canopy Bed</div>
      <p style=""margin:0; padding:0; color:rgba(42,33,27,0.76); font-size:14px; line-height:1.7; font-weight:400;"">Create a magical focal point with this sculptural tree branch bed frame. Inspired by a cozy bird nest, it combines rustic wood texture with modern organic style for a warm, artistic sleeping space.</p>
    </div>
    <div style=""display:grid; grid-template-columns:34px 1fr; gap:14px; padding:0 0 16px; border-bottom:1px solid rgba(92,58,35,0.14); background:transparent;"">
      <span style=""width:30px; height:30px; border-radius:999px; display:inline-flex; align-items:center; justify-content:center; background:rgba(91,50,24,0.09); color:#5a3218; font-size:11px; font-weight:600; letter-spacing:0.04em; line-height:1;"">01</span>
      <div style=""margin:0; padding:0; background:transparent;"">
        <h3 style=""margin:0 0 7px; padding:0; color:#1f1712; font-family:var(--font-heading-family, Georgia, serif); font-size:17px; line-height:1.35; font-weight:500;"">Solid Wood Craftsmanship</h3>
        <p style=""margin:0; padding:0; color:rgba(42,33,27,0.76); font-size:14px; line-height:1.7; font-weight:400;"">Designed with a solid wood look, thick platform base, chunky block legs, rounded branch details, and natural grain texture that brings handcrafted character to your bedroom.</p>
      </div>
    </div>
    <div style=""display:grid; grid-template-columns:34px 1fr; gap:14px; padding:0 0 16px; border-bottom:1px solid rgba(92,58,35,0.14); background:transparent;"">
      <span style=""width:30px; height:30px; border-radius:999px; display:inline-flex; align-items:center; justify-content:center; background:rgba(91,50,24,0.09); color:#5a3218; font-size:11px; font-weight:600; letter-spacing:0.04em; line-height:1;"">02</span>
      <div style=""margin:0; padding:0; background:transparent;"">
        <h3 style=""margin:0 0 7px; padding:0; color:#1f1712; font-family:var(--font-heading-family, Georgia, serif); font-size:17px; line-height:1.35; font-weight:500;"">Sculptural Canopy Headboard</h3>
        <p style=""margin:0 0 10px; padding:0; color:rgba(42,33,27,0.76); font-size:14px; line-height:1.7; font-weight:400;"">The woven branch canopy headboard adds height, depth, and visual drama, making it an ideal statement piece for master bedrooms, themed rooms, cozy cabins, or boutique stays.</p>
        <div style=""display:flex; flex-wrap:wrap; gap:7px; margin:0; padding:0;"">
          <span style=""display:inline-flex; padding:6px 9px; border-radius:999px; background:rgba(91,50,24,0.06); border:1px solid rgba(92,58,35,0.10); color:rgba(42,33,27,0.78); font-size:12px; line-height:1;"">Rustic</span>
          <span style=""display:inline-flex; padding:6px 9px; border-radius:999px; background:rgba(91,50,24,0.06); border:1px solid rgba(92,58,35,0.10); color:rgba(42,33,27,0.78); font-size:12px; line-height:1;"">Farmhouse</span>
          <span style=""display:inline-flex; padding:6px 9px; border-radius:999px; background:rgba(91,50,24,0.06); border:1px solid rgba(92,58,35,0.10); color:rgba(42,33,27,0.78); font-size:12px; line-height:1;"">Boho</span>
          <span style=""display:inline-flex; padding:6px 9px; border-radius:999px; background:rgba(91,50,24,0.06); border:1px solid rgba(92,58,35,0.10); color:rgba(42,33,27,0.78); font-size:12px; line-height:1;"">Cabin</span>
        </div>
      </div>
    </div>
    <div style=""display:grid; grid-template-columns:34px 1fr; gap:14px; padding:0 0 16px; border-bottom:1px solid rgba(92,58,35,0.14); background:transparent;"">
      <span style=""width:30px; height:30px; border-radius:999px; display:inline-flex; align-items:center; justify-content:center; background:rgba(91,50,24,0.09); color:#5a3218; font-size:11px; font-weight:600; letter-spacing:0.04em; line-height:1;"">03</span>
      <div style=""margin:0; padding:0; background:transparent;"">
        <h3 style=""margin:0 0 7px; padding:0; color:#1f1712; font-family:var(--font-heading-family, Georgia, serif); font-size:17px; line-height:1.35; font-weight:500;"">Designed for Daily Use</h3>
        <p style=""margin:0; padding:0; color:rgba(42,33,27,0.76); font-size:14px; line-height:1.7; font-weight:400;"">The platform structure is engineered to reliably support everyday bedroom use while maintaining its artistic appearance. Assembly is required for optimal installation.</p>
      </div>
    </div>
    <div style=""display:grid; grid-template-columns:34px 1fr; gap:14px; padding:0 0 16px; border-bottom:1px solid rgba(92,58,35,0.14); background:transparent;"">
      <span style=""width:30px; height:30px; border-radius:999px; display:inline-flex; align-items:center; justify-content:center; background:rgba(91,50,24,0.09); color:#5a3218; font-size:11px; font-weight:600; letter-spacing:0.04em; line-height:1;"">04</span>
      <div style=""margin:0; padding:0; background:transparent;"">
        <h3 style=""margin:0 0 7px; padding:0; color:#1f1712; font-family:var(--font-heading-family, Georgia, serif); font-size:17px; line-height:1.35; font-weight:500;"">Memorable Home Addition</h3>
        <p style=""margin:0; padding:0; color:rgba(42,33,27,0.76); font-size:14px; line-height:1.7; font-weight:400;"">A striking choice for bedroom makeovers or as a unique gift for those who appreciate woodland decor and one-of-a-kind statement furniture pieces.</p>
      </div>
    </div>
    <div style=""margin:2px 0 0; padding:13px 15px; border-radius:14px; background:rgba(91,50,24,0.06); color:rgba(42,33,27,0.72); font-size:13px; line-height:1.6; border:1px solid rgba(92,58,35,0.08);"">Mattress, bedding, pillows, and surrounding room decor shown in product photos are for presentation only and are not included with the bed frame.</div>
  </div>
</div>",Wrydeco,Furniture > Beds & Accessories > Beds & Bed Frames > Platform Beds & Bed Frames,bed-frame-with-headboard,"rich_desc, source_amazon",true,Choose Size,"KING SIZE - 76""W X 80""L",,Add On-Site Installation,"No, I will install it myself",,Wood Finish,Warm Wood,,,0.0,,0,deny,manual,18995.65,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0805/4410/4505/files/8346020282425-gallery-001-logo-a93ed532e838_f0d0071e-28ff-4b57-8618-27fb964d1f4a.jpg?v=1786273178,1,,false,Tree Bird Nest Solid Wood Canopy Bed Frame | Wrydeco,Create a magical bedroom focal point with Wrydeco's tree bird nest canopy bed frame. Handcrafted from solid natural wood with rustic branch charm. Shop now!,https://www.amazon.com/dp/B0H6F2HQ9K?th=1,tin-dang,11,,https://cdn.shopify.com/videos/c/o/v/a4a6af5c5f9b47e3b2b51d8900a99543.mp4,"<div class=""description-root""><img alt=""d"" src=""https://cdn.shopify.com/s/files/1/0829/7968/4580/files/amazon-rich-8aa9ea5ab42d41e9619565d2.gif?v=1786940050"" class=""a-spacing-base a-lazy-loaded"" data-src=""https://cdn.shopify.com/s/files/1/0829/7968/4580/files/amazon-rich-c8548eaa83137d49b422ae87.jpg?v=1786940056""> <img alt=""x"" src=""https://cdn.shopify.com/s/files/1/0829/7968/4580/files/amazon-rich-8aa9ea5ab42d41e9619565d2.gif?v=1786940050"" class=""a-spacing-base a-lazy-loaded"" data-src=""https://cdn.shopify.com/s/files/1/0829/7968/4580/files/amazon-rich-5e6c7b840ef8672c97a31806.jpg?v=1786940061""> <img alt=""d"" src=""https://cdn.shopify.com/s/files/1/0829/7968/4580/files/amazon-rich-8aa9ea5ab42d41e9619565d2.gif?v=1786940050"" class=""a-spacing-base a-lazy-loaded"" data-src=""https://cdn.shopify.com/s/files/1/0829/7968/4580/files/amazon-rich-93ecd46624c959cc0fdd87e4.jpg?v=1786940066""> <img alt=""z"" src=""https://cdn.shopify.com/s/files/1/0829/7968/4580/files/amazon-rich-8aa9ea5ab42d41e9619565d2.gif?v=1786940050"" class=""a-spacing-base a-lazy-loaded"" data-src=""https://cdn.shopify.com/s/files/1/0829/7968/4580/files/amazon-rich-96cf664bec6b41aab97aa568.jpg?v=1786940072""> <img alt=""d"" src=""https://cdn.shopify.com/s/files/1/0829/7968/4580/files/amazon-rich-8aa9ea5ab42d41e9619565d2.gif?v=1786940050"" class=""a-spacing-base a-lazy-loaded"" data-src=""https://cdn.shopify.com/s/files/1/0829/7968/4580/files/amazon-rich-14bd31cf7e698e444c4d73b5.jpg?v=1786940077""> <img alt=""g"" src=""https://cdn.shopify.com/s/files/1/0829/7968/4580/files/amazon-rich-8aa9ea5ab42d41e9619565d2.gif?v=1786940050"" class=""a-spacing-base a-lazy-loaded"" data-src=""https://cdn.shopify.com/s/files/1/0829/7968/4580/files/amazon-rich-f7e30a84f1d85ddc57148145.jpg?v=1786940083""></div>",bird nest solid wood platform bed with branch canopy headboard,,,,,,,,,,,,,kg,,,active
tree-bird-nest-wood-platform-canopy-bed-frame-2,,,,,,,,,"KING SIZE - 76""W X 80""L",,,"No, I will install it myself",,,Dark Warm Wood,,,0.0,,0,deny,manual,18995.65,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0805/4410/4505/files/8346020282425-gallery-003-logo-4e14f472f9a6_db8cd941-24ff-4509-ab91-3e87dea3a101.jpg?v=1786273178,2,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
tree-bird-nest-wood-platform-canopy-bed-frame-2,,,,,,,,,"KING SIZE - 76""W X 80""L",,,"No, I will install it myself",,,Cool Dark Wood,,,0.0,,0,deny,manual,18995.65,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0805/4410/4505/files/8346020282425-gallery-002-logo-62f4577e220b_c95c7dbc-2ea9-498e-8466-269da113c7bf.jpg?v=1786273178,3,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
tree-bird-nest-wood-platform-canopy-bed-frame-2,,,,,,,,,"KING SIZE - 76""W X 80""L",,,"No, I will install it myself",,,Natural Finish,,,0.0,,0,deny,manual,18995.65,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0805/4410/4505/files/8346020282425-gallery-004-logo-63eb6108b204_6dec2481-ba92-4fc9-ac52-ff3d88a522cd.jpg?v=1786273177,4,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
tree-bird-nest-wood-platform-canopy-bed-frame-2,,,,,,,,,"KING SIZE - 76""W X 80""L",,,"No, I will install it myself",,,Dark Walnut,,,0.0,,0,deny,manual,18995.65,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0805/4410/4505/files/8346020282425-gallery-005-logo-550bdae204fb_a5ab398a-15de-46d8-90c6-3550d43db061.jpg?v=1786273178,5,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
tree-bird-nest-wood-platform-canopy-bed-frame-2,,,,,,,,,"KING SIZE - 76""W X 80""L",,,"No, I will install it myself",,,Custom,,,0.0,,0,deny,manual,18995.65,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0805/4410/4505/files/8346020282425-gallery-006-logo-76a37c37b120_46089718-b6e9-452d-aef6-b00360622396.jpg?v=1786273178,6,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
tree-bird-nest-wood-platform-canopy-bed-frame-2,,,,,,,,,"KING SIZE - 76""W X 80""L",,,"Yes, I need on-site installation",,,Warm Wood,,,0.0,,0,deny,manual,19845.65,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0805/4410/4505/files/8346020282425-gallery-007-logo-a3db9fcbedd5_436e10c8-5fce-43fa-b059-74fbcf50bbfe.jpg?v=1786273178,7,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
tree-bird-nest-wood-platform-canopy-bed-frame-2,,,,,,,,,"KING SIZE - 76""W X 80""L",,,"Yes, I need on-site installation",,,Dark Warm Wood,,,0.0,,0,deny,manual,19845.65,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0805/4410/4505/files/8346020282425-gallery-008-logo-4e1c8534429e_471770ef-d53c-4106-ba3d-b7a9c659d649.jpg?v=1786273178,8,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
tree-bird-nest-wood-platform-canopy-bed-frame-2,,,,,,,,,"KING SIZE - 76""W X 80""L",,,"Yes, I need on-site installation",,,Cool Dark Wood,,,0.0,,0,deny,manual,19845.65,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0805/4410/4505/files/8346020282425-gallery-009-logo-3139d0147c16_3506155e-ee08-44a1-8a0f-d566e6a704c9.jpg?v=1786273178,9,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
tree-bird-nest-wood-platform-canopy-bed-frame-2,,,,,,,,,"KING SIZE - 76""W X 80""L",,,"Yes, I need on-site installation",,,Natural Finish,,,0.0,,0,deny,manual,19845.65,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
