Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Amazon Link (product.metafields.custom.amazon_link),Author Info (product.metafields.custom.author_info),Bought Amount (product.metafields.custom.bought_amount),Product Material (product.metafields.custom.product_material),product_video_media (product.metafields.custom.product_video_media),Rich Description (product.metafields.custom.rich_description),SEO Product Title (product.metafields.custom.seo_product_title),Size Guide (product.metafields.custom.size_guide),Wood Type (product.metafields.custom.wood_type),Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Mounting type (product.metafields.shopify.mounting-type),Suitable location (product.metafields.shopify.suitable-location),Wood finish (product.metafields.shopify.wood-finish),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
rustic-wooden-tree-bookshelf-with-branch-shelves-for-home,Rustic Wooden Tree Bookshelf with Branch Shelves for Home,"<div class=""dm-tabs__rte"" style=""margin:0; padding:0; background:transparent; color:#2a211b; font-family:inherit;"">
  <div style=""display:grid; gap:16px; margin:0; padding:0; background:transparent;"">
    <div style=""padding:16px 18px; border-radius:16px; background:rgba(91,50,24,0.055); border:1px solid rgba(92,58,35,0.10);"">
      <div style=""margin:0 0 6px; color:#5a3218; font-size:11px; line-height:1; font-weight:600; letter-spacing:0.16em; text-transform:uppercase;"">
        Sculptural Tree-Inspired Storage
      </div>
      <p style=""margin:0; padding:0; color:rgba(42,33,27,0.76); font-size:14px; line-height:1.7; font-weight:400;"">
        A striking wooden bookcase shaped like a natural tree trunk with branch-style shelves, bringing warmth, movement, and artistic character to your living room, entryway, bedroom, or reading corner.
      </p>
    </div>
    <div style=""display:grid; grid-template-columns:34px 1fr; gap:14px; padding:0 0 16px; border-bottom:1px solid rgba(92,58,35,0.14); background:transparent;"">
      <span style=""width:30px; height:30px; border-radius:999px; display:inline-flex; align-items:center; justify-content:center; background:rgba(91,50,24,0.09); color:#5a3218; font-size:11px; font-weight:600; letter-spacing:0.04em; line-height:1;"">
        01
      </span>
      <div style=""margin:0; padding:0; background:transparent;"">
        <h3 style=""margin:0 0 7px; padding:0; color:#1f1712; font-family:var(--font-heading-family, Georgia, serif); font-size:17px; line-height:1.35; font-weight:500;"">
          Multiple Open Shelves for Display
        </h3>
        <p style=""margin:0; padding:0; color:rgba(42,33,27,0.76); font-size:14px; line-height:1.7; font-weight:400;"">
          Designed to hold books, small plants, vases, candles, framed photos, keepsakes, decorative bowls, and collected treasures while turning everyday storage into beautiful wall decor.
        </p>
      </div>
    </div>
    <div style=""display:grid; grid-template-columns:34px 1fr; gap:14px; padding:0 0 16px; border-bottom:1px solid rgba(92,58,35,0.14); background:transparent;"">
      <span style=""width:30px; height:30px; border-radius:999px; display:inline-flex; align-items:center; justify-content:center; background:rgba(91,50,24,0.09); color:#5a3218; font-size:11px; font-weight:600; letter-spacing:0.04em; line-height:1;"">
        02
      </span>
      <div style=""margin:0; padding:0; background:transparent;"">
        <h3 style=""margin:0 0 7px; padding:0; color:#1f1712; font-family:var(--font-heading-family, Georgia, serif); font-size:17px; line-height:1.35; font-weight:500;"">
          Natural Wood Grain with Rustic Charm
        </h3>
        <p style=""margin:0; padding:0; color:rgba(42,33,27,0.76); font-size:14px; line-height:1.7; font-weight:400;"">
          The warm wood tone, visible grain, knots, textured trunk details, and organic branch forms create a handcrafted look that feels earthy, cozy, and one of a kind.
        </p>
      </div>
    </div>
    <div style=""display:grid; grid-template-columns:34px 1fr; gap:14px; padding:0 0 16px; border-bottom:1px solid rgba(92,58,35,0.14); background:transparent;"">
      <span style=""width:30px; height:30px; border-radius:999px; display:inline-flex; align-items:center; justify-content:center; background:rgba(91,50,24,0.09); color:#5a3218; font-size:11px; font-weight:600; letter-spacing:0.04em; line-height:1;"">
        03
      </span>
      <div style=""margin:0; padding:0; background:transparent;"">
        <h3 style=""margin:0 0 7px; padding:0; color:#1f1712; font-family:var(--font-heading-family, Georgia, serif); font-size:17px; line-height:1.35; font-weight:500;"">
          Statement Piece for Home Styling
        </h3>
        <p style=""margin:0 0 10px; padding:0; color:rgba(42,33,27,0.76); font-size:14px; line-height:1.7; font-weight:400;"">
          Perfect for boho, farmhouse, rustic modern, organic modern, woodland, cabin, cottage, Mediterranean, vintage-inspired, and nature-inspired interiors.
        </p>
        <div style=""display:flex; flex-wrap:wrap; gap:7px; margin:0; padding:0;"">
          <span style=""display:inline-flex; padding:6px 9px; border-radius:999px; background:rgba(91,50,24,0.06); border:1px solid rgba(92,58,35,0.10); color:rgba(42,33,27,0.78); font-size:12px; line-height:1;"">Boho</span>
          <span style=""display:inline-flex; padding:6px 9px; border-radius:999px; background:rgba(91,50,24,0.06); border:1px solid rgba(92,58,35,0.10); color:rgba(42,33,27,0.78); font-size:12px; line-height:1;"">Farmhouse</span>
          <span style=""display:inline-flex; padding:6px 9px; border-radius:999px; background:rgba(91,50,24,0.06); border:1px solid rgba(92,58,35,0.10); color:rgba(42,33,27,0.78); font-size:12px; line-height:1;"">Rustic Modern</span>
          <span style=""display:inline-flex; padding:6px 9px; border-radius:999px; background:rgba(91,50,24,0.06); border:1px solid rgba(92,58,35,0.10); color:rgba(42,33,27,0.78); font-size:12px; line-height:1;"">Woodland</span>
        </div>
      </div>
    </div>
    <div style=""display:grid; grid-template-columns:34px 1fr; gap:14px; padding:0 0 16px; border-bottom:1px solid rgba(92,58,35,0.14); background:transparent;"">
      <span style=""width:30px; height:30px; border-radius:999px; display:inline-flex; align-items:center; justify-content:center; background:rgba(91,50,24,0.09); color:#5a3218; font-size:11px; font-weight:600; letter-spacing:0.04em; line-height:1;"">
        04
      </span>
      <div style=""margin:0; padding:0; background:transparent;"">
        <h3 style=""margin:0 0 7px; padding:0; color:#1f1712; font-family:var(--font-heading-family, Georgia, serif); font-size:17px; line-height:1.35; font-weight:500;"">
          Functional Storage with Artistic Appeal
        </h3>
        <p style=""margin:0; padding:0; color:rgba(42,33,27,0.76); font-size:14px; line-height:1.7; font-weight:400;"">
          This tree bookcase adds vertical storage without looking bulky, making it ideal for styling blank walls, cozy corners, reading spaces, entryways, and living room focal points.
        </p>
      </div>
    </div>
    <div style=""display:grid; grid-template-columns:34px 1fr; gap:14px; padding:0 0 16px; border-bottom:1px solid rgba(92,58,35,0.14); background:transparent;"">
      <span style=""width:30px; height:30px; border-radius:999px; display:inline-flex; align-items:center; justify-content:center; background:rgba(91,50,24,0.09); color:#5a3218; font-size:11px; font-weight:600; letter-spacing:0.04em; line-height:1;"">
        05
      </span>
      <div style=""margin:0; padding:0; background:transparent;"">
        <h3 style=""margin:0 0 7px; padding:0; color:#1f1712; font-family:var(--font-heading-family, Georgia, serif); font-size:17px; line-height:1.35; font-weight:500;"">
          Meaningful Gift or Home Upgrade
        </h3>
        <p style=""margin:0; padding:0; color:rgba(42,33,27,0.76); font-size:14px; line-height:1.7; font-weight:400;"">
          A thoughtful choice for housewarming gifts, new homes, apartment makeovers, reading room refreshes, nursery upgrades, or anyone who loves unique wooden furniture with natural design value.
        </p>
      </div>
    </div>
    <div style=""display:grid; grid-template-columns:34px 1fr; gap:14px; padding:0 0 16px; border-bottom:1px solid rgba(92,58,35,0.14); background:transparent;"">
      <span style=""width:30px; height:30px; border-radius:999px; display:inline-flex; align-items:center; justify-content:center; background:rgba(91,50,24,0.09); color:#5a3218; font-size:11px; font-weight:600; letter-spacing:0.04em; line-height:1;"">
        06
      </span>
      <div style=""margin:0; padding:0; background:transparent;"">
        <h3 style=""margin:0 0 7px; padding:0; color:#1f1712; font-family:var(--font-heading-family, Georgia, serif); font-size:17px; line-height:1.35; font-weight:500;"">
          Carefully Packed for Delivery
        </h3>
        <p style=""margin:0; padding:0; color:rgba(42,33,27,0.76); font-size:14px; line-height:1.7; font-weight:400;"">
          Each bookshelf is prepared with protective packing to help safeguard the trunk body, branch supports, shelf surfaces, wood texture, and decorative details during shipping.
        </p>
      </div>
    </div>
    <div style=""margin:2px 0 0; padding:13px 15px; border-radius:14px; background:rgba(91,50,24,0.06); color:rgba(42,33,27,0.72); font-size:13px; line-height:1.6; border:1px solid rgba(92,58,35,0.08);"">
      Books, plants, pottery, lanterns, framed photos, baskets, and other decorative objects shown in product photos are for presentation only unless explicitly included.
    </div>
  </div>
</div>",Wrydeco,Furniture > Shelving > Bookcases & Standing Shelves,standing-bookshelf,"rich_desc, source_amazon, vnote",true,Size,"50""W x 45""H x 8""D",,Wood Finish,Natural,,,,,,0.0,,0,continue,manual,3906.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0805/4410/4505/files/8373267333177-gallery-001-logo-16af3c6bfacd_1abc46b8-ebe9-40db-ae31-fb6c94dd1a8a.jpg?v=1786634779,1,,false,Rustic Tree Bookshelf with Branch Shelves - Buy Now,"Add nature-inspired charm to your home with our Rustic Tree Bookshelf. Features branch shelves perfect for displaying books, plants, and decor in any room.",https://www.amazon.com/dp/B0H4LS94TH,son-tran,,wood,,"<div class=""description-root""><img alt=""1"" src=""https://via.placeholder.com/800"" class=""a-spacing-base"" data-src=""https://cdn.shopify.com/s/files/1/0829/7968/4580/files/vnote-rich-aa1981bc98e979f4d6b4497b.png?v=1786948448""> <img alt=""1"" src=""https://via.placeholder.com/800"" class=""a-spacing-base"" data-src=""https://cdn.shopify.com/s/files/1/0829/7968/4580/files/vnote-rich-5e519f448c4cfc91f509af54.png?v=1786948454""> <img alt=""1"" src=""https://via.placeholder.com/800"" class=""a-spacing-base"" data-src=""https://cdn.shopify.com/s/files/1/0829/7968/4580/files/vnote-rich-4d21d5a92cc01efa7ebda12a.png?v=1786948460""> <img alt=""1"" src=""https://via.placeholder.com/800"" class=""a-spacing-base"" data-src=""https://cdn.shopify.com/s/files/1/0829/7968/4580/files/vnote-rich-94448a0461d7cebadca82ae0.png?v=1786948466""> <img alt=""1"" src=""https://via.placeholder.com/800"" class=""a-spacing-base"" data-src=""https://cdn.shopify.com/s/files/1/0829/7968/4580/files/vnote-rich-e421f6d4c0e6dad48b2a05dd.png?v=1786948472""> <img alt=""1"" src=""https://via.placeholder.com/800"" class=""a-spacing-base"" data-src=""https://cdn.shopify.com/s/files/1/0829/7968/4580/files/vnote-rich-edc58a77af11cd45463f2904.png?v=1786948478""></div>",Rustic Solid Wood Tree Branch Bookshelf for Living Room,,wood,,,,,,,,,,,kg,,,active
rustic-wooden-tree-bookshelf-with-branch-shelves-for-home,,,,,,,,,"65""W x 60""H x 9""D",,,Natural,,,,,,0.0,,0,continue,manual,4426.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0805/4410/4505/files/8373267333177-gallery-002-logo-d255a6407053_10ae93cb-7734-42a1-a995-a5aaa95a7d1d.jpg?v=1786634779,2,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
rustic-wooden-tree-bookshelf-with-branch-shelves-for-home,,,,,,,,,"75""W x 65""H x 10""D",,,Natural,,,,,,0.0,,0,continue,manual,4947.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0805/4410/4505/files/8373267333177-gallery-003-logo-f3c46f69482c_203962c4-297c-4014-a1c8-abf468ff70fc.jpg?v=1786634779,3,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
rustic-wooden-tree-bookshelf-with-branch-shelves-for-home,,,,,,,,,"89""W x 80""H x 10-12""D",,,Natural,,,,,,0.0,,0,continue,manual,5468.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0805/4410/4505/files/8373267333177-gallery-004-logo-d32174d0c60a_6eb6e12a-3f88-4b98-85a6-c20d5be720fd.jpg?v=1786634779,4,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
rustic-wooden-tree-bookshelf-with-branch-shelves-for-home,,,,,,,,,"50""W x 45""H x 8""D",,,Light Oak,,,,,,0.0,,0,continue,manual,3906.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0805/4410/4505/files/8373267333177-gallery-005-logo-1be7922dada8_4ad40c80-8401-448a-85d6-1d5d4ab4f2f3.jpg?v=1786634779,5,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
rustic-wooden-tree-bookshelf-with-branch-shelves-for-home,,,,,,,,,"50""W x 45""H x 8""D",,,Walnut,,,,,,0.0,,0,continue,manual,3906.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0805/4410/4505/files/8373267333177-gallery-006-logo-03628bc8591a_2f9f940d-bfae-403b-9182-5ee233b4618b.jpg?v=1786634779,6,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
rustic-wooden-tree-bookshelf-with-branch-shelves-for-home,,,,,,,,,"50""W x 45""H x 8""D",,,Dark Walnut,,,,,,0.0,,0,continue,manual,3906.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0805/4410/4505/files/8373267333177-gallery-007-logo-69137410e2b5_f0afb60b-9786-4081-bfa6-53ccd51d6b09.jpg?v=1786634779,7,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
rustic-wooden-tree-bookshelf-with-branch-shelves-for-home,,,,,,,,,"50""W x 45""H x 8""D",,,Custom,,,,,,0.0,,0,continue,manual,3906.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0805/4410/4505/files/8373267333177-gallery-008-logo-0e06bb098115_44a651d2-3592-4ce4-8a87-7c56ff99f10f.jpg?v=1786634779,8,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
rustic-wooden-tree-bookshelf-with-branch-shelves-for-home,,,,,,,,,"65""W x 60""H x 9""D",,,Light Oak,,,,,,0.0,,0,continue,manual,4426.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0805/4410/4505/files/8373267333177-gallery-009-logo-7b25de75d0d5_8d196b39-1cff-48df-bc5a-48d22278f66f.jpg?v=1786634779,9,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
rustic-wooden-tree-bookshelf-with-branch-shelves-for-home,,,,,,,,,"65""W x 60""H x 9""D",,,Walnut,,,,,,0.0,,0,continue,manual,4426.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0805/4410/4505/files/8373267333177-gallery-010-logo-2e49a8989da1_5c9b9cde-633f-4873-bccd-f257a8ab3303.jpg?v=1786634779,10,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
